Ano,Nome da Exposição,Início,Fim,Edifício,Espaço Expositivo,Confirmado?
2026,Sandra Gamarra Heshiki: réplica,2026-03-06,2026-06-07,Lina,1º Andar expositivo,TRUE
2026,La Chola Poblete: Pop andino,2026-03-06,2026-08-02,Pietro,2º Andar,TRUE
2026,Claudia Alarcón & Silät: viver tecendo,2026-03-06,2026-08-02,Pietro,3º Andar,TRUE
2026,Santiago Yahuarcani: o princípio do conhecimento,2026-04-02,2026-08-02,Pietro,5º e 6 º Andar,TRUE
2026,Colectivo Acciones de Arte: democracia radical,2026-04-07,2026-08-02,Pietro,4º Andar,TRUE
2026,Damián Ortega: matéria e energia,2026-05-15,2026-09-13,Lina,"1° Subsolo Aquário, 2° Subsolo",TRUE
2026,Carolina Caycedo: confluências,2026-07-03,2026-10-04,Lina,1º  Andar expositivo,TRUE
2026,Histórias latino-americanas,2026-09-04,2027-01-31,Pietro,Todos os andares,TRUE
2026,Rosa Elena Curruchich: crônicas de Comalapa,2026-10-30,2027-04-04,-,,TRUE
2026,Pablo Delano: Museu da Antiga Colônia,2026-10-30,2027-01-31,-,,TRUE
2026,Jesús Soto,2026-11-27,2027-04-04,-,,TRUE
2026,Manuel Herreros e Mateo Manaure: mi nombre es venezuela,2026-11-27,2027-04-04,-,,TRUE
2025,Histórias da ecologia,2025-09-04,2026-02-01,Pietro,,TRUE
2025,Minerva Cuevas: ecologia social,2025-12-05,2026-04-12,Lina,2° Subsolo,TRUE
2025,Clarissa Tossin: ponto sem retorno,2025-10-10,2026-02-01,Lina,1° andar,TRUE
2025,Mulheres Atingidas por Barragens: bordando direitos,2025-04-11,2025-08-03,Lina,1º subsolo mezanino,TRUE
2025,Frans Krajcberg,2025-05-16,2025-10-19,Lina,2° Subsolo,TRUE
2025,Abel Rodríguez,2025-10-10,2026-04-12,Lina,1° Subsolo Aquário,TRUE
2025,André Taniki,2025-12-05,2026-04-12,Lina,1º Subsolo Mezanino,TRUE
2025,Doações recentes,2025-09-22,2026-10-26,Lina,1º Subsolo Mezanino,TRUE
2025,Hulda Guzmán,2025-04-11,2025-09-14,Lina,1° Subsolo Aquário,TRUE
2025,A Ecologia de Monet,2025-05-16,2025-09-06,Lina,1° Andar,TRUE
